ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
butterfly,giraffe,goat,dolphin,ladybug,elephant,duck,hog,bluebird
sparrow,monkey,lizard,ant,snail,bluebird,rat,horse,eagle
sheep,dog,horse,goat,turkey,dolphin,rat,fox,hog
eagle,elephant,snake,dog,fox,horse,ant,ladybug,owl
butterfly,rat,pigeon,goldfish,ant,spider,dog,mouse,bear
sheep,ant,goldfish,elephant,cow,duck,butterfly,bat,bluebird
monkey,bluebird,whale,snail,sheep,eagle,butterfly,spider,pigeon
bluebird,crocodile,butterfly,mouse,sparrow,goat,turkey,sheep,goldfish
eagle,cat,duck,goat,pigeon,mouse,whale,hog,butterfly
rat,lizard,duck,fox,tiger,bluebird,dog,sparrow,crocodile
horse,duck,sheep,goldfish,turkey,ant,butterfly,hog,spider
pigeon,sheep,giraffe,frog,crocodile,bear,ladybug,whale,fox
bluebird,snail,giraffe,goat,duck,ant,ladybug,eagle,mouse
monkey,elephant,lizard,goat,mouse,giraffe,goldfish,turkey,fox
turkey,monkey,horse,ant,eagle,tiger,bat,ladybug,duck
whale,horse,fox,cat,eagle,sheep,rat,ant,dolphin
ladybug,sheep,rat,snail,cow,snake,turkey,monkey,pigeon
goat,crocodile,butterfly,turtle,bear,snake,cat,shark,bluebird
pigeon,crocodile,mouse,owl,elephant,turkey,bluebird,shark,bear
tiger,horse,turkey,bear,rat,hog,goldfish,monkey,giraffe
sheep,crocodile,pigeon,ladybug,cow,bat,sparrow,bear,snail
crocodile,rat,snail,horse,bluebird,giraffe,snake,owl,ant
turtle,whale,pigeon,goldfish,duck,lizard,sheep,cat,rat
turkey,turtle,ant,shark,cat,giraffe,bat,bluebird,pigeon
turkey,butterfly,owl,sparrow,dolphin,dog,lizard,cow,goat
fox,duck,snail,butterfly,owl,turkey,crocodile,shark,spider
duck,monkey,cat,elephant,dolphin,fox,goat,rat,snail
dolphin,owl,pigeon,elephant,eagle,butterfly,monkey,lizard,whale
whale,eagle,sheep,goat,goldfish,bear,monkey,ladybug,crocodile
cow,monkey,ant,fox,dog,tiger,dolphin,eagle,bear
dolphin,bear,fox,tiger,bat,goat,turtle,sheep,ladybug
pigeon,duck,monkey,bat,dog,butterfly,sparrow,ant,dolphin
butterfly,monkey,whale,crocodile,bat,shark,lizard,turtle,turkey
giraffe,sparrow,frog,butterfly,dolphin,horse,bluebird,rat,fox
horse,shark,dog,mouse,duck,tiger,lizard,frog,butterfly
bluebird,goldfish,fox,crocodile,frog,bat,turtle,hog,dolphin
bat,eagle,cat,monkey,owl,ant,cow,elephant,pigeon
duck,fox,snake,hog,ladybug,dog,sparrow,shark,monkey
bat,bear,spider,goat,sparrow,dolphin,rat,lizard,goldfish
dolphin,crocodile,bat,hog,mouse,snail,ladybug,giraffe,rat
goldfish,snake,frog,snail,shark,eagle,ladybug,turkey,dolphin
eagle,lizard,goldfish,monkey,dog,shark,turtle,frog,ladybug
cat,whale,pigeon,bat,lizard,bluebird,ladybug,rat,owl
hog,goat,duck,lizard,dolphin,whale,pigeon,horse,frog
dolphin,eagle,turkey,cat,snail,hog,pigeon,goldfish,dog
cow,ant,butterfly,cat,giraffe,horse,bear,hog,owl
pigeon,spider,ladybug,turtle,tiger,horse,eagle,snail,whale
bear,cat,pigeon,sparrow,horse,owl,lizard,giraffe,ant
ladybug,whale,eagle,spider,duck,bear,tiger,goat,elephant
horse,rat,owl,cat,dolphin,turtle,ladybug,pigeon,snail
goldfish,goat,duck,pigeon,dog,cow,giraffe,tiger,lizard
tiger,monkey,dolphin,ladybug,sparrow,giraffe,sheep,cow,elephant
cow,giraffe,elephant,turtle,bluebird,crocodile,whale,owl,mouse
crocodile,ladybug,goat,cow,pigeon,turkey,dolphin,goldfish,sheep
dog,lizard,giraffe,frog,bear,bluebird,elephant,butterfly,eagle
hog,snail,sparrow,owl,elephant,mouse,bear,bluebird,cat
lizard,rat,dog,elephant,goldfish,spider,ant,giraffe,fox
dog,dolphin,mouse,ant,cat,turtle,pigeon,shark,monkey
tiger,fox,eagle,turtle,goat,lizard,ant,pigeon,snake
snake,goat,tiger,duck,frog,dog,goldfish,owl,bat
turtle,bluebird,goat,cow,turkey,elephant,giraffe,shark,crocodile
bear,goat,spider,snake,cow,bat,whale,shark,fox
cat,sheep,elephant,dog,goat,fox,monkey,turtle,horse
