ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
turkey,butterfly,goat,lizard,dog,dolphin,owl,sparrow,cow,"['stim6', 'stim7', 'stim1', 'stim3', 'stim4', 'stim2', 'stim5', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
cow,crocodile,spider,shark,sheep,snail,duck,goat,whale,"['stim7', 'stim4', 'stim3', 'stim1', 'stim8', 'stim6', 'stim5', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
dolphin,crocodile,rat,ladybug,snail,mouse,bat,hog,giraffe,"['stim1', 'stim7', 'stim8', 'stim6', 'stim2', 'stim5', 'stim4', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
giraffe,snail,spider,bear,elephant,cow,dog,sheep,hog,"['stim4', 'stim8', 'stim3', 'stim7', 'stim5', 'stim6', 'stim1', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
elephant,bat,monkey,bluebird,spider,dog,snake,mouse,giraffe,"['stim8', 'stim2', 'stim5', 'stim6', 'stim3', 'stim1', 'stim7', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snake,ant,turtle,dolphin,ladybug,butterfly,monkey,spider,sparrow,"['stim2', 'stim3', 'stim6', 'stim8', 'stim7', 'stim5', 'stim4', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
sheep,fox,lizard,whale,ladybug,pigeon,eagle,giraffe,horse,"['stim8', 'stim1', 'stim7', 'stim6', 'stim5', 'stim2', 'stim3', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
duck,fox,monkey,sparrow,dog,ladybug,snake,hog,shark,"['stim3', 'stim4', 'stim1', 'stim2', 'stim7', 'stim6', 'stim8', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ladybug,whale,elephant,tiger,bear,duck,eagle,spider,goat,"['stim7', 'stim5', 'stim6', 'stim8', 'stim3', 'stim4', 'stim2', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turtle,cow,ant,cat,snake,elephant,snail,duck,sparrow,"['stim6', 'stim4', 'stim8', 'stim7', 'stim3', 'stim1', 'stim5', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turtle,bluebird,crocodile,giraffe,elephant,turkey,goat,cow,shark,"['stim2', 'stim5', 'stim1', 'stim6', 'stim8', 'stim7', 'stim3', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
elephant,ant,whale,ladybug,turkey,lizard,hog,cat,goat,"['stim2', 'stim6', 'stim8', 'stim7', 'stim4', 'stim5', 'stim3', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
goldfish,goat,lizard,giraffe,cow,dog,duck,pigeon,tiger,"['stim2', 'stim7', 'stim6', 'stim5', 'stim1', 'stim8', 'stim4', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
horse,duck,spider,butterfly,ant,turkey,sheep,goldfish,hog,"['stim8', 'stim6', 'stim5', 'stim1', 'stim3', 'stim2', 'stim7', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ant,snail,dog,sparrow,cow,cat,hog,whale,monkey,"['stim1', 'stim3', 'stim5', 'stim2', 'stim8', 'stim6', 'stim4', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turtle,bear,sheep,monkey,dog,owl,ladybug,eagle,lizard,"['stim8', 'stim6', 'stim5', 'stim7', 'stim4', 'stim2', 'stim3', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
hog,butterfly,monkey,duck,sheep,rat,pigeon,shark,tiger,"['stim4', 'stim2', 'stim8', 'stim7', 'stim3', 'stim6', 'stim5', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
butterfly,bear,snail,crocodile,sheep,ant,owl,turkey,tiger,"['stim5', 'stim6', 'stim2', 'stim7', 'stim4', 'stim8', 'stim1', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
cat,whale,owl,ladybug,bluebird,lizard,pigeon,bat,rat,"['stim2', 'stim6', 'stim7', 'stim4', 'stim8', 'stim5', 'stim1', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
dog,cow,ladybug,giraffe,lizard,owl,tiger,pigeon,monkey,"['stim8', 'stim6', 'stim1', 'stim3', 'stim5', 'stim7', 'stim4', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
rat,tiger,frog,ant,mouse,lizard,cow,pigeon,hog,"['stim4', 'stim7', 'stim8', 'stim1', 'stim6', 'stim5', 'stim2', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
shark,horse,elephant,snail,frog,eagle,snake,spider,hog,"['stim2', 'stim1', 'stim8', 'stim6', 'stim5', 'stim4', 'stim3', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
goat,snail,elephant,bat,giraffe,sheep,sparrow,dolphin,spider,"['stim5', 'stim4', 'stim2', 'stim7', 'stim3', 'stim6', 'stim8', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
cow,goldfish,bat,snake,shark,ladybug,duck,frog,pigeon,"['stim4', 'stim8', 'stim6', 'stim3', 'stim7', 'stim2', 'stim5', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
spider,turkey,horse,sheep,pigeon,snake,dolphin,owl,goldfish,"['stim8', 'stim5', 'stim4', 'stim1', 'stim7', 'stim3', 'stim2', 'stim6']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
cat,turtle,bear,elephant,frog,spider,eagle,crocodile,shark,"['stim6', 'stim1', 'stim4', 'stim2', 'stim3', 'stim8', 'stim7', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
goldfish,ant,mouse,elephant,whale,ladybug,turkey,turtle,butterfly,"['stim4', 'stim7', 'stim1', 'stim2', 'stim6', 'stim3', 'stim8', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
fox,cat,ant,elephant,mouse,hog,sheep,spider,snail,"['stim1', 'stim6', 'stim5', 'stim4', 'stim3', 'stim8', 'stim7', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
owl,rat,lizard,spider,cat,turtle,dog,crocodile,giraffe,"['stim1', 'stim4', 'stim6', 'stim8', 'stim7', 'stim2', 'stim5', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
duck,eagle,goldfish,turkey,lizard,ant,sheep,horse,butterfly,"['stim3', 'stim1', 'stim8', 'stim6', 'stim7', 'stim4', 'stim2', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
whale,duck,shark,cow,lizard,dolphin,ant,butterfly,owl,"['stim2', 'stim5', 'stim3', 'stim4', 'stim8', 'stim1', 'stim7', 'stim6']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
tiger,horse,giraffe,goldfish,hog,rat,turkey,bear,monkey,"['stim7', 'stim8', 'stim1', 'stim2', 'stim4', 'stim5', 'stim6', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
tiger,pigeon,frog,snail,shark,mouse,cat,owl,lizard,"['stim6', 'stim4', 'stim7', 'stim1', 'stim5', 'stim8', 'stim2', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
spider,cat,dolphin,hog,cow,turkey,goat,lizard,bluebird,"['stim7', 'stim8', 'stim1', 'stim5', 'stim6', 'stim3', 'stim2', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ant,bat,shark,dolphin,dog,lizard,sheep,whale,mouse,"['stim5', 'stim8', 'stim1', 'stim4', 'stim6', 'stim3', 'stim2', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snail,mouse,dolphin,snake,whale,horse,tiger,sheep,turtle,"['stim8', 'stim3', 'stim1', 'stim7', 'stim6', 'stim2', 'stim5', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snake,crocodile,whale,turkey,sheep,fox,horse,monkey,turtle,"['stim8', 'stim1', 'stim3', 'stim5', 'stim4', 'stim7', 'stim6', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snail,rat,tiger,ant,cow,dolphin,spider,cat,monkey,"['stim6', 'stim3', 'stim1', 'stim7', 'stim8', 'stim2', 'stim4', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
lizard,dolphin,horse,whale,tiger,rat,goat,goldfish,eagle,"['stim7', 'stim5', 'stim8', 'stim6', 'stim4', 'stim2', 'stim1', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
pigeon,sheep,fox,ladybug,bear,crocodile,giraffe,frog,whale,"['stim2', 'stim1', 'stim4', 'stim6', 'stim8', 'stim5', 'stim7', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
frog,dog,snail,cow,hog,tiger,owl,snake,cat,"['stim2', 'stim7', 'stim6', 'stim8', 'stim1', 'stim4', 'stim5', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
pigeon,spider,whale,eagle,horse,tiger,ladybug,turtle,snail,"['stim3', 'stim6', 'stim8', 'stim1', 'stim7', 'stim5', 'stim4', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
pigeon,duck,dolphin,sparrow,butterfly,dog,monkey,bat,ant,"['stim1', 'stim3', 'stim7', 'stim4', 'stim5', 'stim6', 'stim2', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
giraffe,sparrow,fox,bluebird,horse,dolphin,frog,butterfly,rat,"['stim4', 'stim5', 'stim2', 'stim1', 'stim3', 'stim8', 'stim6', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snake,frog,elephant,bear,dog,snail,giraffe,cow,shark,"['stim1', 'stim5', 'stim4', 'stim7', 'stim3', 'stim8', 'stim6', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
cat,frog,lizard,goldfish,duck,crocodile,mouse,ladybug,sparrow,"['stim6', 'stim8', 'stim4', 'stim5', 'stim2', 'stim1', 'stim3', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
whale,horse,dolphin,rat,sheep,eagle,fox,cat,ant,"['stim2', 'stim1', 'stim4', 'stim6', 'stim7', 'stim5', 'stim3', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
crocodile,lizard,whale,elephant,giraffe,cat,rat,sparrow,duck,"['stim1', 'stim2', 'stim3', 'stim4', 'stim8', 'stim7', 'stim6', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
dolphin,bear,ladybug,turtle,goat,bat,fox,tiger,sheep,"['stim7', 'stim8', 'stim4', 'stim1', 'stim6', 'stim5', 'stim3', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
hog,spider,dog,bluebird,elephant,cow,snake,crocodile,ant,"['stim5', 'stim2', 'stim4', 'stim7', 'stim3', 'stim6', 'stim1', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
whale,eagle,crocodile,monkey,bear,goldfish,sheep,goat,ladybug,"['stim2', 'stim5', 'stim4', 'stim6', 'stim3', 'stim7', 'stim1', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
horse,turkey,crocodile,sheep,turtle,giraffe,goat,owl,bluebird,"['stim5', 'stim3', 'stim6', 'stim2', 'stim7', 'stim1', 'stim8', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ant,duck,frog,fox,bluebird,elephant,tiger,owl,goat,"['stim2', 'stim4', 'stim1', 'stim7', 'stim3', 'stim8', 'stim6', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
lizard,duck,mouse,bluebird,sheep,snake,frog,butterfly,monkey,"['stim5', 'stim6', 'stim2', 'stim3', 'stim1', 'stim8', 'stim4', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
bear,goat,fox,whale,bat,cow,spider,snake,shark,"['stim5', 'stim1', 'stim8', 'stim3', 'stim2', 'stim7', 'stim4', 'stim6']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
tiger,fox,snake,ant,lizard,goat,eagle,turtle,pigeon,"['stim5', 'stim1', 'stim6', 'stim8', 'stim2', 'stim4', 'stim7', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snake,spider,pigeon,mouse,bluebird,ant,rat,goldfish,goat,"['stim3', 'stim6', 'stim7', 'stim4', 'stim2', 'stim8', 'stim1', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
snail,frog,butterfly,bluebird,goat,hog,shark,crocodile,giraffe,"['stim1', 'stim2', 'stim3', 'stim4', 'stim5', 'stim6', 'stim7', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turtle,whale,rat,sheep,lizard,duck,pigeon,goldfish,cat,"['stim4', 'stim7', 'stim2', 'stim6', 'stim5', 'stim8', 'stim3', 'stim1']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
sparrow,lizard,cow,frog,ant,sheep,tiger,duck,crocodile,"['stim7', 'stim3', 'stim1', 'stim5', 'stim2', 'stim6', 'stim8', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
owl,frog,mouse,elephant,sparrow,turkey,cow,eagle,ant,"['stim7', 'stim5', 'stim4', 'stim2', 'stim6', 'stim3', 'stim1', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
eagle,mouse,rat,giraffe,crocodile,dolphin,sheep,pigeon,bear,"['stim7', 'stim1', 'stim2', 'stim6', 'stim8', 'stim5', 'stim4', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
duck,horse,sheep,bat,whale,bluebird,goat,owl,snail,"['stim5', 'stim7', 'stim3', 'stim6', 'stim2', 'stim1', 'stim4', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
elephant,frog,dolphin,bear,pigeon,horse,crocodile,sheep,turtle,"['stim3', 'stim5', 'stim6', 'stim2', 'stim7', 'stim4', 'stim1', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
bat,eagle,pigeon,cow,ant,owl,cat,monkey,elephant,"['stim2', 'stim5', 'stim1', 'stim6', 'stim7', 'stim3', 'stim8', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
spider,snail,tiger,turtle,mouse,duck,ant,dog,giraffe,"['stim6', 'stim1', 'stim3', 'stim4', 'stim5', 'stim7', 'stim2', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turtle,dolphin,mouse,tiger,bat,monkey,ladybug,fox,frog,"['stim8', 'stim2', 'stim4', 'stim5', 'stim3', 'stim1', 'stim7', 'stim6']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
monkey,dog,horse,bat,turtle,ant,dolphin,crocodile,duck,"['stim1', 'stim2', 'stim8', 'stim6', 'stim7', 'stim3', 'stim4', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
mouse,duck,cat,eagle,snail,goat,butterfly,crocodile,lizard,"['stim2', 'stim1', 'stim3', 'stim5', 'stim8', 'stim7', 'stim6', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
bluebird,crocodile,goldfish,turkey,goat,sparrow,butterfly,mouse,sheep,"['stim5', 'stim3', 'stim6', 'stim7', 'stim8', 'stim4', 'stim1', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
dolphin,tiger,ant,turtle,bluebird,cow,frog,duck,spider,"['stim5', 'stim1', 'stim3', 'stim6', 'stim7', 'stim4', 'stim8', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
cat,bat,bluebird,snail,giraffe,turkey,ant,tiger,hog,"['stim7', 'stim1', 'stim5', 'stim2', 'stim8', 'stim4', 'stim3', 'stim6']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ant,turkey,bluebird,bear,turtle,lizard,dolphin,frog,crocodile,"['stim4', 'stim7', 'stim5', 'stim2', 'stim1', 'stim6', 'stim8', 'stim3']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
cow,giraffe,mouse,whale,crocodile,bluebird,elephant,turtle,owl,"['stim1', 'stim6', 'stim4', 'stim3', 'stim8', 'stim2', 'stim5', 'stim7']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ant,butterfly,giraffe,rat,goldfish,duck,spider,horse,fox,"['stim6', 'stim4', 'stim3', 'stim1', 'stim8', 'stim5', 'stim7', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
ladybug,cat,owl,bat,bluebird,shark,lizard,ant,goldfish,"['stim7', 'stim4', 'stim3', 'stim2', 'stim1', 'stim8', 'stim6', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
bluebird,snail,mouse,ladybug,ant,duck,giraffe,goat,eagle,"['stim5', 'stim8', 'stim2', 'stim7', 'stim6', 'stim1', 'stim3', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
giraffe,mouse,whale,hog,lizard,rat,cat,frog,sheep,"['stim2', 'stim3', 'stim8', 'stim6', 'stim5', 'stim1', 'stim7', 'stim4']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
dog,elephant,bat,goat,turkey,butterfly,whale,hog,crocodile,"['stim3', 'stim7', 'stim4', 'stim2', 'stim8', 'stim1', 'stim6', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
turkey,butterfly,snail,cat,sheep,owl,giraffe,snake,mouse,"['stim5', 'stim1', 'stim7', 'stim3', 'stim4', 'stim6', 'stim8', 'stim2']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
bear,duck,turkey,mouse,bluebird,turtle,hog,sheep,dolphin,"['stim6', 'stim8', 'stim7', 'stim2', 'stim1', 'stim4', 'stim3', 'stim5']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
spider,fox,bluebird,mouse,bat,sparrow,goat,dog,elephant,"['stim3', 'stim2', 'stim4', 'stim5', 'stim7', 'stim1', 'stim6', 'stim8']",S1,10,2020_May_31_1203,word_exp,2020.1.0,None
