ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
mouse,bear,sparrow,fox,monkey,lizard,ladybug,hog,butterfly,"['stim3', 'stim4', 'stim7', 'stim1', 'stim2', 'stim5', 'stim6', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
ladybug,turtle,dog,elephant,giraffe,monkey,frog,whale,snake,"['stim1', 'stim8', 'stim6', 'stim2', 'stim4', 'stim5', 'stim3', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
goat,tiger,frog,monkey,sparrow,bat,owl,goldfish,turkey,"['stim3', 'stim1', 'stim5', 'stim8', 'stim2', 'stim4', 'stim6', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
pigeon,dolphin,spider,rat,ant,snail,cow,goldfish,cat,"['stim3', 'stim8', 'stim6', 'stim4', 'stim2', 'stim5', 'stim1', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
shark,tiger,turtle,dolphin,goldfish,cow,hog,horse,ladybug,"['stim3', 'stim4', 'stim1', 'stim7', 'stim5', 'stim6', 'stim2', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
elephant,goldfish,duck,pigeon,snake,horse,spider,fox,cow,"['stim5', 'stim8', 'stim7', 'stim4', 'stim2', 'stim6', 'stim3', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
bluebird,shark,monkey,snake,rat,dog,spider,owl,cat,"['stim7', 'stim4', 'stim8', 'stim5', 'stim2', 'stim6', 'stim3', 'stim1']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
turtle,hog,giraffe,spider,butterfly,frog,horse,crocodile,fox,"['stim5', 'stim7', 'stim1', 'stim4', 'stim3', 'stim8', 'stim6', 'stim2']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
cat,turtle,eagle,crocodile,spider,frog,elephant,shark,bear,"['stim8', 'stim6', 'stim1', 'stim3', 'stim5', 'stim4', 'stim2', 'stim7']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
mouse,pigeon,dog,tiger,horse,snail,duck,ant,shark,"['stim2', 'stim4', 'stim3', 'stim7', 'stim1', 'stim6', 'stim5', 'stim8']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
spider,giraffe,monkey,shark,duck,frog,rat,butterfly,ladybug,"['stim8', 'stim7', 'stim6', 'stim5', 'stim4', 'stim2', 'stim1', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
cat,cow,butterfly,snail,dog,snake,dolphin,hog,sheep,"['stim4', 'stim8', 'stim1', 'stim7', 'stim6', 'stim2', 'stim5', 'stim3']",S4,7,2021_Jul_06_1123,word_exp,2020.1.0,60.23082476
