ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
butterfly,owl,turkey,sheep,ant,snail,bear,crocodile,tiger,"['stim4', 'stim1', 'stim5', 'stim7', 'stim2', 'stim3', 'stim6', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
lizard,bat,shark,hog,cow,fox,dog,bear,snail,"['stim8', 'stim2', 'stim3', 'stim4', 'stim6', 'stim5', 'stim7', 'stim1']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
bat,cat,monkey,ant,owl,pigeon,eagle,cow,elephant,"['stim1', 'stim4', 'stim6', 'stim5', 'stim3', 'stim2', 'stim7', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
sparrow,tiger,duck,ant,sheep,cow,lizard,frog,crocodile,"['stim2', 'stim3', 'stim4', 'stim5', 'stim6', 'stim7', 'stim1', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
goldfish,snail,horse,sparrow,snake,bat,crocodile,sheep,bluebird,"['stim6', 'stim1', 'stim4', 'stim5', 'stim3', 'stim7', 'stim2', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
frog,goldfish,fox,sheep,butterfly,dog,snail,spider,lizard,"['stim8', 'stim1', 'stim6', 'stim7', 'stim5', 'stim3', 'stim2', 'stim4']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
sparrow,tiger,sheep,dolphin,bat,bear,giraffe,snake,goldfish,"['stim4', 'stim8', 'stim2', 'stim6', 'stim5', 'stim1', 'stim3', 'stim7']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
frog,fox,goat,bluebird,mouse,crocodile,rat,eagle,butterfly,"['stim5', 'stim6', 'stim2', 'stim1', 'stim4', 'stim7', 'stim3', 'stim8']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
dog,rat,fox,sparrow,goldfish,shark,snail,horse,turtle,"['stim2', 'stim7', 'stim1', 'stim8', 'stim4', 'stim6', 'stim3', 'stim5']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
shark,lizard,bluebird,ant,duck,tiger,mouse,dolphin,butterfly,"['stim7', 'stim1', 'stim4', 'stim3', 'stim8', 'stim2', 'stim5', 'stim6']",S4,3,2021_Jun_22_1353,word_exp,2020.1.0,59.97050843
