ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,participant,session,date,expName,psychopyVersion,frameRate
bluebird,frog,horse,lizard,cow,hog,monkey,bear,dog,"['stim3', 'stim1', 'stim8', 'stim5', 'stim6', 'stim2', 'stim4', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
giraffe,snail,spider,bear,elephant,cow,dog,sheep,hog,"['stim4', 'stim3', 'stim7', 'stim5', 'stim8', 'stim6', 'stim1', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
hog,bear,ladybug,goldfish,horse,sparrow,goat,fox,turkey,"['stim7', 'stim6', 'stim4', 'stim1', 'stim8', 'stim5', 'stim3', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
goat,snail,elephant,bat,giraffe,sheep,sparrow,dolphin,spider,"['stim5', 'stim4', 'stim2', 'stim7', 'stim6', 'stim1', 'stim3', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
turtle,hog,fox,horse,frog,butterfly,giraffe,spider,crocodile,"['stim4', 'stim8', 'stim2', 'stim1', 'stim3', 'stim6', 'stim5', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
eagle,lizard,ladybug,turtle,shark,dog,goldfish,monkey,frog,"['stim2', 'stim4', 'stim5', 'stim7', 'stim1', 'stim8', 'stim3', 'stim6']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
spider,cat,dolphin,hog,cow,turkey,goat,lizard,bluebird,"['stim7', 'stim8', 'stim5', 'stim1', 'stim3', 'stim6', 'stim4', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
turkey,horse,monkey,whale,spider,frog,hog,rat,bear,"['stim6', 'stim2', 'stim1', 'stim8', 'stim7', 'stim5', 'stim3', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
sparrow,ladybug,fox,dog,goat,goldfish,owl,butterfly,dolphin,"['stim6', 'stim7', 'stim1', 'stim2', 'stim3', 'stim4', 'stim5', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
cow,giraffe,mouse,whale,crocodile,bluebird,elephant,turtle,owl,"['stim6', 'stim1', 'stim4', 'stim2', 'stim3', 'stim7', 'stim8', 'stim5']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
cat,turtle,bear,elephant,frog,spider,eagle,crocodile,shark,"['stim2', 'stim3', 'stim1', 'stim4', 'stim7', 'stim5', 'stim6', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
monkey,goat,bear,ladybug,sparrow,whale,lizard,snail,hog,"['stim8', 'stim1', 'stim2', 'stim6', 'stim7', 'stim4', 'stim5', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
snake,frog,elephant,bear,dog,snail,giraffe,cow,shark,"['stim1', 'stim5', 'stim4', 'stim7', 'stim3', 'stim2', 'stim6', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bear,cat,ant,lizard,owl,horse,pigeon,sparrow,giraffe,"['stim8', 'stim5', 'stim1', 'stim6', 'stim4', 'stim7', 'stim3', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
horse,shark,butterfly,lizard,tiger,duck,dog,mouse,frog,"['stim4', 'stim6', 'stim7', 'stim5', 'stim3', 'stim8', 'stim1', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bat,snake,lizard,snail,turtle,crocodile,fox,rat,sheep,"['stim1', 'stim7', 'stim5', 'stim2', 'stim4', 'stim3', 'stim6', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
butterfly,rat,bear,dog,spider,ant,pigeon,goldfish,mouse,"['stim5', 'stim4', 'stim8', 'stim1', 'stim6', 'stim7', 'stim3', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
dog,lizard,eagle,elephant,bluebird,bear,giraffe,frog,butterfly,"['stim5', 'stim3', 'stim6', 'stim7', 'stim4', 'stim2', 'stim1', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
dolphin,bear,ladybug,turtle,goat,bat,fox,tiger,sheep,"['stim3', 'stim7', 'stim8', 'stim4', 'stim1', 'stim6', 'stim5', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
rat,horse,whale,turtle,ladybug,sheep,bat,cat,eagle,"['stim7', 'stim5', 'stim1', 'stim6', 'stim8', 'stim3', 'stim4', 'stim2']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
eagle,dolphin,owl,rat,spider,tiger,bluebird,bat,fox,"['stim2', 'stim6', 'stim7', 'stim4', 'stim3', 'stim8', 'stim5', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
frog,rat,crocodile,eagle,bluebird,mouse,fox,goat,butterfly,"['stim2', 'stim4', 'stim8', 'stim5', 'stim1', 'stim6', 'stim7', 'stim3']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
ant,snail,dog,sparrow,cow,cat,hog,whale,monkey,"['stim1', 'stim5', 'stim2', 'stim6', 'stim3', 'stim4', 'stim8', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
bat,tiger,snake,pigeon,duck,turkey,cat,horse,snail,"['stim2', 'stim8', 'stim3', 'stim4', 'stim5', 'stim6', 'stim1', 'stim7']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
ant,butterfly,giraffe,rat,goldfish,duck,spider,horse,fox,"['stim6', 'stim3', 'stim1', 'stim5', 'stim8', 'stim7', 'stim2', 'stim4']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
elephant,ant,whale,ladybug,turkey,lizard,hog,cat,goat,"['stim8', 'stim6', 'stim7', 'stim2', 'stim4', 'stim5', 'stim3', 'stim1']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
snail,rat,tiger,ant,cow,dolphin,spider,cat,monkey,"['stim6', 'stim3', 'stim1', 'stim7', 'stim8', 'stim2', 'stim4', 'stim5']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
spider,snail,tiger,turtle,mouse,duck,ant,dog,giraffe,"['stim6', 'stim1', 'stim4', 'stim3', 'stim7', 'stim5', 'stim2', 'stim8']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
whale,duck,shark,cow,lizard,dolphin,ant,butterfly,owl,"['stim5', 'stim2', 'stim3', 'stim1', 'stim4', 'stim8', 'stim7', 'stim6']",S7,1,2020_May_20_1604,word_exp,2020.1.0,None
